Time,FAM/FAM T (+),TYE/TYE T (-),CY5/CY5 T (m)
1.833333333,0.001143424,0.001229965,-0.002373389
1.85,0.000938263,0.001015329,-0.001953591
1.866666667,0.000729862,0.0008051,-0.001534962
1.883333333,0.000525027,0.000590764,-0.001115791
1.9,0.000221168,0.000670135,-0.000891304
1.916666667,-8.28E-05,0.000754909,-0.000672063
1.933333333,-0.000386553,0.000834869,-0.000448316
1.95,-7.28E-05,0.00090411,-0.000831332
1.966666667,0.000240346,0.000974955,-0.0012153
1.983333333,0.000554559,0.001045739,-0.001600298
2,0.000492107,0.001163791,-0.001655898
2.016666667,0.000431783,0.001278547,-0.001710331
2.033333333,0.000369545,0.001397133,-0.001766678
2.05,0.000722924,0.001130159,-0.001853083
2.066666667,0.001071916,0.000865324,-0.00193724
2.083333333,0.001423649,0.000599642,-0.002023291
2.1,0.001301622,0.000470829,-0.001772451
2.116666667,0.001176061,0.000342657,-0.001518718
2.133333333,0.001052902,0.000213056,-0.001265958
2.15,0.001051149,0.00030054,-0.001351689
2.166666667,0.001051975,0.000386255,-0.00143823
2.183333333,0.001049251,0.000473155,-0.001522406
2.2,0.000912776,0.000407082,-0.001319858
2.216666667,0.000776563,0.000340127,-0.00111669
2.233333333,0.000640058,0.00027385,-0.000913908
2.25,0.001238006,-0.000284238,-0.000953768
2.266666667,0.001836817,-0.000845361,-0.000991457
2.283333333,0.002434496,-0.001403716,-0.00103078
2.3,0.002081943,-0.000730123,-0.00135182
2.316666667,0.0017315,-5.84E-05,-0.001673073
2.333333333,0.001379551,0.000613501,-0.001993051
2.35,0.001482056,0.000311686,-0.001793741
2.366666667,0.001589028,7.40E-06,-0.001596433
2.383333333,0.001692255,-0.000294543,-0.001397712
2.4,0.001676728,-0.000240299,-0.001436429
2.416666667,0.001664054,-0.000189501,-0.001474553
2.433333333,0.001648966,-0.000134387,-0.001514579
2.45,0.001762607,-0.000168306,-0.0015943
2.466666667,0.001879003,-0.000205629,-0.001673373
2.483333333,0.001992722,-0.000239639,-0.001753082
2.5,0.002083506,-8.78E-05,-0.001995726
2.516666667,0.002174023,6.01E-05,-0.002234161
2.533333333,0.00226524,0.000212575,-0.002477816
2.55,0.001578221,0.00043919,-0.00201741
2.566666667,0.000892177,0.000663298,-0.001555476
2.583333333,0.000204455,0.00088974,-0.001094194
2.6,0.000376773,0.000967275,-0.001344047
2.616666667,0.000547024,0.00104626,-0.001593284
2.633333333,0.000719806,0.001124245,-0.001844051
2.65,0.001142783,0.000650602,-0.001793385
2.666666667,0.001562948,0.000178473,-0.001741421
2.683333333,0.001986478,-0.000295586,-0.001690892
2.7,0.001851662,-0.000257012,-0.00159465
2.716666667,0.001712279,-0.00021616,-0.001496119
2.733333333,0.001577287,-0.000177861,-0.001399426
2.75,0.00165412,-0.000135659,-0.001518461
2.766666667,0.001733859,-9.51E-05,-0.001638717
2.783333333,0.001810648,-5.30E-05,-0.001757602
2.8,0.002041622,-0.000163776,-0.001877846
2.816666667,0.002271367,-0.000271728,-0.001999638
2.833333333,0.002502751,-0.000383159,-0.002119591
2.85,0.002003282,-3.34E-05,-0.001969891
2.866666667,0.001507437,0.000314115,-0.001821552
2.883333333,0.00100815,0.000663042,-0.001671192
2.9,0.00128533,0.000751193,-0.002036523
2.916666667,0.001563209,0.000841457,-0.002404667
2.933333333,0.001840347,0.000930059,-0.002770406
2.95,0.002430565,0.000493278,-0.002923843
2.966666667,0.003022748,5.49E-05,-0.003077635
2.983333333,0.003612922,-0.000382001,-0.00323092
3,0.002789368,-1.36E-05,-0.002775753
3.016666667,0.001966013,0.000359561,-0.002325574
3.033333333,0.001141507,0.000728894,-0.0018704
3.05,0.001329647,0.000554873,-0.00188452
3.066666667,0.001520378,0.000382271,-0.001902648
3.083333333,0.001709681,0.000207579,-0.00191726
3.1,0.001390445,0.000485508,-0.001875954
3.116666667,0.001072893,0.000765181,-0.001838074
3.133333333,0.00075368,0.001043255,-0.001796935
3.15,0.001011497,0.001189934,-0.002201432
3.166666667,0.00126996,0.001330793,-0.002600754
3.183333333,0.001527789,0.001477619,-0.003005408
3.2,0.001405072,0.001162177,-0.002567249
3.216666667,0.001286301,0.00084488,-0.002131181
3.233333333,0.001164385,0.000529879,-0.001694264
3.25,0.001475659,0.000410315,-0.001885974
3.266666667,0.001785596,0.000297335,-0.002082931
3.283333333,0.002097048,0.000178365,-0.002275413
3.3,0.001753696,0.000446821,-0.002200517
3.316666667,0.001409857,0.000713647,-0.002123504
3.333333333,0.001064757,0.000983538,-0.002048295
3.35,0.001216768,0.000639071,-0.001855839
3.366666667,0.001369166,0.000293699,-0.001662865
3.383333333,0.001520728,-5.15E-05,-0.001469271
3.4,0.00170399,7.90E-05,-0.001783017
3.416666667,0.001889223,0.000208656,-0.002097879
3.433333333,0.002072287,0.000338955,-0.002411242
3.45,0.002562619,-0.000146361,-0.002416258
3.466666667,0.003056333,-0.000632809,-0.002423524
3.483333333,0.00354752,-0.001117353,-0.002430167
3.5,0.003379282,-0.000774932,-0.00260435
3.516666667,0.003207995,-0.000430969,-0.002777025
3.533333333,0.003040572,-8.84E-05,-0.002952178
3.55,0.003085959,-0.000264833,-0.002821126
3.566666667,0.003129468,-0.000442414,-0.002687054
3.583333333,0.003175018,-0.000618855,-0.002556162
3.6,0.003422499,-0.000661566,-0.002760933
3.616666667,0.003668981,-0.000705438,-0.002963543
3.633333333,0.00391648,-0.000747749,-0.003168731
3.65,0.003295832,-0.000610185,-0.002685647
3.666666667,0.002676803,-0.000472888,-0.002203915
3.683333333,0.002055582,-0.000334189,-0.001721393
3.7,0.002291686,-0.000214495,-0.002077191
3.716666667,0.002530101,-9.71E-05,-0.002432964
3.733333333,0.002767945,2.45E-05,-0.002792416
3.75,0.002935978,-0.000202415,-0.002733563
3.766666667,0.003103112,-0.000434129,-0.002668983
3.783333333,0.003271409,-0.000661472,-0.002609937
3.8,0.002991973,-0.000312845,-0.002679128
3.816666667,0.002711096,3.84E-05,-0.002749485
3.833333333,0.002431453,0.00038688,-0.002818333
3.85,0.00265123,0.000138534,-0.002789765
3.866666667,0.00287163,-0.00010952,-0.00276211
3.883333333,0.003090063,-0.000357327,-0.002732736
3.9,0.002450725,0.000113506,-0.002564231
3.916666667,0.001813497,0.000584069,-0.002397566
3.933333333,0.001171068,0.001056908,-0.002227976
3.95,0.001044636,0.001119736,-0.002164372
3.966666667,0.000916069,0.001186276,-0.002102345
3.983333333,0.000789465,0.001249123,-0.002038587
4,0.001207673,0.000963309,-0.002170982
4.016666667,0.001625225,0.000675286,-0.002300511
4.033333333,0.002043959,0.00038925,-0.002433209
4.05,0.002277789,8.25E-05,-0.002360335
4.066666667,0.00250842,-0.000225212,-0.002283208
4.083333333,0.002741399,-0.000531972,-0.002209427
4.1,0.002842027,-0.000431301,-0.002410725
4.116666667,0.002940512,-0.000326921,-0.00261359
4.133333333,0.003041328,-0.000226206,-0.002815121
4.15,0.002734754,-0.000270116,-0.002464638
4.166666667,0.002427314,-0.000313567,-0.002113747
4.183333333,0.002120576,-0.000357342,-0.001763234
4.2,0.002342644,-0.000450585,-0.001892059
4.216666667,0.002563239,-0.00054754,-0.002015699
4.233333333,0.002785918,-0.000640836,-0.002145082
4.25,0.003017497,-0.000804921,-0.002212575
4.266666667,0.003253713,-0.000970596,-0.002283117
4.283333333,0.003485309,-0.001134908,-0.002350401
4.3,0.003302703,-0.001075426,-0.002227277
4.316666667,0.003118508,-0.001017217,-0.002101291
4.333333333,0.002936015,-0.000958137,-0.001977878
4.35,0.002614325,-0.000555148,-0.002059177
4.366666667,0.002294894,-0.000155455,-0.002139439
4.383333333,0.001972926,0.000248178,-0.002221103
4.4,0.002319847,-8.47E-06,-0.002311379
4.416666667,0.002670213,-0.000266916,-0.002403298
4.433333333,0.003016487,-0.000523186,-0.002493301
4.45,0.002599181,-8.78E-05,-0.002511352
4.466666667,0.002184213,0.000344057,-0.00252827
4.483333333,0.001766232,0.000780814,-0.002547047
